0,AF-A0A0B4J200-F1-model_v4.pdb,16
1,AF-A0A075B706-F1-model_v4.pdb,16
2,AF-A0A0J9YXM7-F1-model_v4.pdb,16
3,AF-A0A0J9YXG5-F1-model_v4.pdb,16
4,AF-A0A075B6S0-F1-model_v4.pdb,16
5,AF-A0A0C5B5G6-F1-model_v4.pdb,16
6,AF-A0A0J9YWP8-F1-model_v4.pdb,16
7,AF-A0A0A0MT87-F1-model_v4.pdb,16
8,AF-A0A0A0MT94-F1-model_v4.pdb,16
9,AF-A0A0A0MTA7-F1-model_v4.pdb,16
10,AF-A0A6Q8PFQ6-F1-model_v4.pdb,16
11,AF-A0A0A0MT70-F1-model_v4.pdb,17
12,AF-A0A0J9YWX3-F1-model_v4.pdb,17
13,AF-A0A0C4DH62-F1-model_v4.pdb,17
14,AF-A0N4Z3-F1-model_v4.pdb,17
15,AF-A0A075B6V2-F1-model_v4.pdb,18
16,AF-A0A075B700-F1-model_v4.pdb,18
17,AF-A0N4X5-F1-model_v4.pdb,19
18,AF-A0A6Q8PHA8-F1-model_v4.pdb,20
19,AF-A0A0C4DH63-F1-model_v4.pdb,20
20,AF-A0N4Z8-F1-model_v4.pdb,20
21,AF-A0A075B6Y9-F1-model_v4.pdb,20
22,AF-A0A075B6Y3-F1-model_v4.pdb,20
23,AF-A0N4X2-F1-model_v4.pdb,20
24,AF-A0N4Z7-F1-model_v4.pdb,21
25,AF-Q9NRI7-F1-model_v4.pdb,21
26,AF-A0A096LPG2-F1-model_v4.pdb,23
27,AF-A0A7I2V6D3-F1-model_v4.pdb,23
28,AF-S4R3P1-F1-model_v4.pdb,24
29,AF-S4R3Y5-F1-model_v4.pdb,24
30,AF-A0A0A0MT86-F1-model_v4.pdb,24
31,AF-P0CJ70-F1-model_v4.pdb,24
32,AF-P0CJ74-F1-model_v4.pdb,24
33,AF-P0CJ76-F1-model_v4.pdb,24
34,AF-P0CJ73-F1-model_v4.pdb,24
35,AF-Q8IVG9-F1-model_v4.pdb,24
36,AF-P0CJ77-F1-model_v4.pdb,24
37,AF-A0A7I2V4U8-F1-model_v4.pdb,25
38,AF-A0A1B0GWH6-F1-model_v4.pdb,25
39,AF-P62945-F1-model_v4.pdb,25
